Naam,Adres,Latitude,Longitude,Link,Street,Postcode,City
"Zwol, A.L. van","Huisartsenpraktijk Hellevoetsluis-West, Hellevoetsluis",51.8338546,4.1390103,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-zwol-a-l-van-294674,Herman Heijermansstraat,3221 VK,Hellevoetsluis
"Berkhoudt, J.","Huisartsenpraktijk J. Berkhoudt, Eindhoven",51.4887364,5.4728984,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-berkhoudt-j-250711,Ouverture,5629 PS,Eindhoven
"Ottengraf, P.S.","Huisartsenpraktijk Ottengraf, Leidschendam",52.0843699,4.3950452,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-ottengraf-p-s-164311,Koningin Julianaweg,2264 BD,Leidschendam
"Burggraaff, H.B.","Verloskundige huisartspraktijk De Stethoscoop, Weesp",52.313513,5.0331816,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-burggraaff-h-b-115135,Waarschapsstraat,1382 EG,Weesp
"Mirrezai Roudaki, A.A.","Zuiderpraktijk, Leiden",52.152212,4.4937049,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-mirrezai-roudaki-a-a-336878,Bloemistenlaan,2313 BB,Leiden
"Ramdas, D.L.H.","Gezondheidscentrum Kempenaar, Huisartsen, Lelystad",0,0,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-ramdas-d-l-h-255485,,,
"Tuinfort, H.L.M.","Huisartsenpraktijk Hacuserk, Almere",52.3824295,5.2671052,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-tuinfort-h-l-m-244024,Leguaanstraat,1338 HC,Almere
"Hiemstra, N.A.M.","Huisartspraktijk Hiemstra, Heesch",51.7303013,5.5231655,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-hiemstra-n-a-m-292719,Gildestraat,5384 JC,Heesch
"Taheri Rastegar, A.","Huisartsenpraktijk Morgenstond, Den Haag",52.0403683,4.2689378,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-taheri-rastegar-a-322022,Melis Stokelaan,2541 GC,Den Haag
"Wardak, N.","Huisartsenpraktijk City Plaza, Spijkenisse",51.8495806,4.3322816,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-wardak-n-287087,Doctor J M den Uyllaan,3201 WR,Spijkenisse
"Nguyen, L.H.C.","Huisartsen Carnisselande - Nguyen, Barendrecht",51.8483337,4.5020163,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-nguyen-l-h-c-271301,Middeldijkerplein,2993 DL,Barendrecht
"Asrian, A.","Huisartsenpraktijk van A tot Z, Terneuzen",51.3195903,3.8463674,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-asrian-a-328603,Alvarezlaan,4536 BA,Terneuzen
"Zengerink, N.F.M.","Huisartsenpraktijk bij de Molen, Strijen",51.7424917,4.5545805,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-zengerink-n-f-m-153833,Molenstraat,3291 EG,Strijen
"Holdijk, K.I.","Huisartspraktijk K.I. Holdijk, Hoofddorp",52.3089794,4.672617,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-holdijk-k-i-114133,Skagerrak,2133 DV,Hoofddorp
"Overdam, J. van","Gezondheidscentrum Nieuwe Westen, Rotterdam",51.9169518,4.4476343,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-overdam-j-van-270842,Tidemanstraat,3022 SG,Rotterdam
"Samandar, Y.M.","Huisartsencentrum Axel, Axel",51.265377,3.9125443,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-samandar-y-m-287673,de Ruyterstraat,4571 BX,Axel
"Zwart, E.E.","Huisartsenpraktijk De Mirakel, Goes",51.5070614,3.879158,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-zwart-e-e-335958,Klein Frankrijk,4461 ZN,Goes
"Patmo, A.S.P.","Huisartsenpraktijk Arts en Zorg Vermeertoren, Delft",52.0127755,4.3377943,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-patmo-a-s-p-336971,Van Foreestweg,2614 XK,Delft
"Huijsman, J.A.N.","Huisartsen Centrum Goes, Goes",51.4997929,3.8993471,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-huijsman-j-a-n-120232,van Dusseldorpstraat,4461 LV,Goes
"Dekkers, P.J.W.","Huisartsenpraktijk Matenpark, Apeldoorn",52.1989529,5.9910376,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-dekkers-p-j-w-319135,Waleweingaarde,7329 BD,Apeldoorn
"Berkhout, B.J.","Huisartspraktijk Berkhout, Dordrecht",51.8086609,4.672686,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-berkhout-b-j-156326,Dubbeldamseweg Noord,3311 LX,Dordrecht
"Berkel-Daleboudt, G.M.N. van","Huisartsenpraktijk van Berkel, Bergschenhoek",51.982628,4.5045393,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-berkel-daleboudt-g-m-n-van-332091,Leeuwenhoekweg,2661 BS,Bergschenhoek
"Demircan, M.M.","Huisarts Demircan, Emmen",52.7925454,6.940097,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-demircan-m-m-258884,Houtweg,7823 PT,Emmen
"Gevaert, H.P.C.","Huisartsenpraktijk De Goese Polder, Goes",51.5122506,3.8808582,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-gevaert-h-p-c-149976,Thorbeckelaan,4463 VA,Goes
"Schneider, J.M.C.","Therapeuticum Aurum, Huisartsen, Zoetermeer",52.0648623,4.4790562,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-schneider-j-m-c-279351,Frits de Zwerverhove,2717 TP,Zoetermeer
"Saçikirli, M.","Huisartsenpraktijk Sterrenkwartier, Spijkenisse",51.8350621,4.3201224,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-sacikirli-m-273599,Oberonweg,3208 PE,Spijkenisse
"Bakashvili, N.","Huisartsenpraktijk De Stadsdriehoek, Rotterdam",51.9237686,4.491534,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-bakashvili-n-303961,Bredestraathof,3011 RG,Rotterdam
"Bhogal-Statham, M.J.","Huisartsenpraktijk Bhogal-Statham, Schiedam",51.9084761,4.4005543,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-bhogal-statham-m-j-327398,Westerkade,3116 GL,Schiedam
"Lubach, J.A.","Gezondheidscentrum De Reef, Huisartsenpraktijk Lubach, Den Haag",52.0517544,4.3850921,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-lubach-j-a-156198,Laan van Nootdorp,2496 RP,Den Haag
"Banning, E.P.M. van","Klaver en van Banning Huisartsen, Zandvoort",52.3723308,4.5360128,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-banning-e-p-m-van-282098,Koninginneweg,2042 NM,Zandvoort
"Leenstra, F.J.","Gezondheidscentrum Assen-Oost, Assen",52.9893815,6.5800602,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-leenstra-f-j-125675,Vredeveldseweg,9404 GA,Assen
"Bressers, J.P.H.M.","Huisartsenpraktijk Bressers, Breda",51.62036,4.7331371,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-bressers-j-p-h-m-120532,Helmkruid,4823 MK,Breda
"Slobbe, A.M. van","Huisartspraktijk Veere, Veere",51.5484539,3.6691628,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-slobbe-a-m-van-159227,Markt,4351 AH,Zanddijk
"Oldenhof, F.S.","Huisartsen Werkeren, Gezondheidshuis Stadshagen, Zwolle",52.5334504,6.057693,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-oldenhof-f-s-283564,Werkerlaan,8043 LK,Zwolle
"Schuurmans, J.","Huisartspraktijk Ottenhoff, Groesbeek",51.7795094,5.9306816,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-schuurmans-j-123114,Burgemeester Ottenhoffstraat,6561 CM,Groesbeek
"Kralingen, B. van","Huisartsenpraktijk Amstelveen, Amstelveen",52.284586,4.8643532,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-kralingen-b-van-309820,Marne,1186 PJ,Amstelveen
"Gumus, E.","Huisartsengroep Eureka, praktijk Gumus, Dordrecht",51.8084837,4.665846,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-gumus-e-242577,Burgemeester de Raadtsingel,3311 HK,Dordrecht
"Janson, J.J.M.","Huisartsenpraktijk Janson, Bergschenhoek",51.9934814,4.4916239,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-janson-j-j-m-117283,Tjeerd Kuipersstraat,2662 GM,Bergschenhoek
"Nguyen, V.T.","Huisartsenpraktijk Wijnhaven, Rotterdam",51.9171871,4.4877382,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-nguyen-v-t-240319,Wijnhaven,3011 WR,Rotterdam
"Raja, S.B.","Huisartsencentrum Kralingen, Praktijk S.B. Raja, Rotterdam",51.9249982,4.5141588,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-raja-s-b-328318,Oudedijk,3062 AE,Rotterdam
"Mohammedamin, S.","MediCor Gezondheidszorg, Huisartsenzorg, locatie Spijkenisse, Spijkenisse",51.834966,4.3144151,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-mohammedamin-s-157411,Dallelaan,3208 CE,Spijkenisse
"Groot, J.E. de","Apotheekhoudende huisartsenpraktijk J.E. de Groot, Zuid-Beijerland",51.7493443,4.3696805,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-groot-j-e-de-316152,Dorpsstraat,3284 AE,Zuid-Beijerland
"Hazelhorst, H.J.","Huisartspraktijk H.J. Hazelhorst, Sliedrecht",51.8217833,4.7703883,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-hazelhorst-h-j-118690,Wilhelminastraat,3361 XV,Sliedrecht
"Wit, J. de","Huisartspraktijk De Wit, Vlaardingen",51.923286,4.341861,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-wit-j-de-272040,Francijntje de Kadtlaan,3136 LR,Vlaardingen
"Claessens-Schraven, S.C.A.M.","Huisartsenpraktijk Antoniusveld, Venray",51.5284647,5.9919054,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-claessens-schraven-s-c-a-m-313319,Mina Krusemanstraat,5803 AR,Venray
"Koene, J.M.","Huisartsen Oranjehoek, Vroomshoop",52.4585129,6.5650533,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-koene-j-m-124474,Linderflier,7681 ZM,Vroomshoop
"Landweer, E.J.","Huisartsenpraktijk Helius MC, locatie Hellevoetsluis, Hellevoetsluis",51.8260889,4.1588741,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-landweer-e-j-265176,Schelpenpad,3225 BZ,Hellevoetsluis
"Meijer, A.E.","Medisch Centrum Oost, Huisartsen, Oosterblokker",52.6694964,5.1176575,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-meijer-a-e-155067,Pennekamplaan,1696 CB,Oosterblokker
"Oelderik, R.E.","Huisartsenpraktijk Molenwijk, Amsterdam",52.4180712,4.8926847,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-oelderik-r-e-114352,Molenwijk,1035 EG,Amsterdam
"Rozendaal, S.E.","Huisartsen Binnenstad, Utrecht",52.096892,5.123129,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-rozendaal-s-e-282399,Van Asch van Wijckskade,3512 VS,Utrecht
"Smeets-Guldemond, F.N.","Gezondheidscentrum Corlaer, Huisartsenpraktijk Bij de Flier, Nijkerk",52.210199,5.4665674,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-smeets-guldemond-f-n-276929,Henri Nouwenstraat,3863 HV,Nijkerk
"Zijl, N.J. van der","Medisch Centrum Te Cleeff, Huisartsenpraktijk van der Zijl, Haarlem",52.3988968,4.6282811,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-zijl-n-j-van-der-308863,'t Hoenstraat,2023 KW,Haarlem
"Beciri-Velija, N.","Medisch Centrum De Koepel, Maastricht",50.8469668,5.7076114,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-beciri-velija-n-242620,Heerderweg,6221 VA,Maastricht
"Boswinkel, W.D.","Huisartsenpraktijk Bergse Bos, Rotterdam",51.9557197,4.5126747,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-boswinkel-w-d-117810,Van Beethovenlaan,3055 JD,Rotterdam
"Busman, P.M.","Huisartsenpraktijk Eenrum, Eenrum",53.3630139,6.4575454,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-busman-p-m-329734,Burg. Wiersumstraat,9967 RC,Eenrum
"Cohen Stuart, T.M.C.","Huisartsenpraktijk Johan de Witt & Cornelis, Arnhem",51.9789719,5.9229813,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-cohen-stuart-t-m-c-117845,Johan de Wittlaan,6828 XC,Arnhem
"Coppoolse, D.","Huisartsenpraktijk Coppoolse, Castricum",52.5559233,4.6683669,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-coppoolse-d-115851,Kortenaerplantsoen,1901 VZ,Castricum
"Dekkers, A.H.S.","Medisch Centrum Molenzoom, locatie De Molen 61, Houten",52.0313382,5.1722371,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-dekkers-a-h-s-299656,De Molen,3995 AM,Houten
"Dikrama, J.T.","Dikrama Clinics, Utrecht",52.0926647,5.1159694,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-dikrama-j-t-270776,Zakkendragerssteeg,3511 AA,Utrecht
"Ellis, E.L.","Het vermoeidheidsspreekuur, Doetinchem",51.962857,6.2441806,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-ellis-e-l-123664,Venkelveld,7006 TL,Doetinchem
"Emmerzaal-Cok, C.","Huisartsenpraktijk De Ridder, Dordrecht",51.7819519,4.6768485,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-emmerzaal-cok-c-339589,Blaauwweg,3328 XN,Dordrecht
"Fehmers, O.","Huisartsenpraktijk Arts en Zorg Veldweg, Wezep",52.4627502,6.0059524,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-fehmers-o-320904,Verlengde Meidoornstraat,8091 DG,Wezep
"Ghantous, S.","Huisartsenpraktijk Ghantous, Hendrik-Ido-Ambacht",51.8379148,4.6360499,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-ghantous-s-243846,Avelingen,3343 EA,Hendrik-Ido-Ambacht
"Groot, T.","Huisartsenpraktijk Westeinder, Aalsmeer",52.2609758,4.7578442,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-groot-t-250379,1e J.C. Mensinglaan,1431 RV,Aalsmeer
"Jansen, I.D.S.","Huisartsenpraktijk Van der Gaag, Schoonhoven",51.9458593,4.8472743,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-jansen-i-d-s-287539,Oranjeplaats,2871 TL,Schoonhoven
"Latif, M.K.","Huisartsenpraktijk Hillesluis, Rotterdam",51.8986251,4.5095279,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-latif-m-k-322702,Hilledijk,3074 GA,Rotterdam
"Muskee, M.C.","Huisartspraktijk Belcrum, Breda",51.6002005,4.7771674,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-muskee-m-c-282091,Pastoor Pottersplein,4815 BB,Breda
"Pasdeloup, A.","Huisartsenpraktijk Pasdeloup - De Vries, Volendam",52.4925844,5.0565905,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-pasdeloup-a-284598,Heideweg,1132 CH,Volendam
"Passos de Cerqueira e Silva, G.","Huisartsenpraktijk Gasthuiskwartier, 's-Hertogenbosch",51.6938385,5.3022299,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-passos-de-cerqueira-e-silva-g-312993,Zuid Willemsvaart,5211 SB,'s-Hertogenbosch
"Petersen, F.C.","HOED Nieuwerkerk a/d IJssel, praktijk Petersen en Mallegrom, Nieuwerkerk aan den IJssel",51.965107,4.617371,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-petersen-f-c-117628,Oranjepad,2911 AP,Nieuwerkerk aan den IJssel
"Siebenga-van Hal, J.C.","Dokterspraktijk Het Laantje, Wijchen",51.8144655,5.7219092,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-siebenga-van-hal-j-c-313181,Buizerdstraat,6601 BP,Wijchen
"Snelder, R.P.","Huisartsenpraktijk R.P. Snelder, Doetinchem",51.9753386,6.2919046,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-snelder-r-p-271601,Leerinkstraat,7009 DH,Doetinchem
"Stolk, L.","Huisartsenpraktijk Stolk, Sliedrecht",51.8217833,4.7703883,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-stolk-l-118697,Wilhelminastraat,3361 XV,Sliedrecht
"Abed, A.","Huisartsenpraktijk Abed, Barneveld",52.1333959,5.602196,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-abed-a-280239,Valkseweg,3771 RG,Barneveld
"Ali, H.H.","Huisartsen Groepspraktijk 't Manschot, Winterswijk",51.9727124,6.724498,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-ali-h-h-271377,Vredensestraat,7101 MK,Winterswijk
"Alkemade, R.F.M.","Huisartsenpraktijk Veur, Praktijk van der Bend & Alkemade, Leidschendam",52.0923504,4.4016476,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-alkemade-r-f-m-324763,Agatha,2264 LM,Leidschendam
"Ausems, E.E.M.","Huisartsenpraktijk Het Raan, Raalte",52.3931757,6.2876317,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-ausems-e-e-m-332676,Kwartel,8103 EB,Raalte
"Baijens, T.I.M.","Huisartsenpraktijk Kloosterpad, Dongen",51.6340473,4.9375753,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-baijens-t-i-m-322686,Kloosterpad,5104 JT,Dongen
"Barkema, H.E.","Apotheekhoudende Huisartsenpraktijk Ruinerwold, Ruinerwold",52.7257356,6.2530172,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-barkema-h-e-167376,Burgemeester Nijsinghweg,7961 CT,Ruinerwold
"Bekkers, W.","Huisartsenpraktijk 't Heelhuis, Praktijk van Herpen - Bekkers, Helmond",51.4813141,5.659007,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-bekkers-w-316738,Ameidewal,5701 MH,Helmond
"Berg, P. van den","Medisch Centrum Haren, Haren",53.175239,6.6083683,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-berg-p-van-den-276939,Kromme Elleboog,9751 RD,Haren
"Berg, W. van den","Huisartsenpraktijk Rijswijk Buiten, Rijswijk",52.0197546,4.3254993,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-berg-w-van-den-328332,Van Rijnweg,2286 KC,Rijswijk
"Berntzen, P.A.","Huisartsenpraktijk Berntzen & Boele, Hoofddorp",52.3000756,4.6634996,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-berntzen-p-a-116180,Manenburgdreef,2135 GW,Hoofddorp
"Bilars, P.M.","Huisartsen Centrumwaard, Praktijk Bilars, Heerhugowaard",52.6730399,4.8467046,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-bilars-p-m-319869,Van Hellemondtstraat,1701 ER,Heerhugowaard
"Bimmel-Waas, S.","Huisartsenpraktijk Overwhere, Purmerend",52.5161597,4.9559072,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-bimmel-waas-s-310539,Suze Groenewegstraat,1442 NC,Purmerend
"Blakenburg, J.P.","Huisartsenpraktijk Assendelft, Assendelft",52.4695237,4.7425294,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-blakenburg-j-p-115431,Dorpsstraat,1566 BV,Assendelft
"Blois, W. de","Huisartsen Weert-Oost Berghuis-Koopmans, Weert",51.2525584,5.7237754,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-blois-w-de-325529,Maaslandlaan,6004 GG,Weert
"Blummel, J.J.H.","Huisartsenpraktijk De Groote Wielen, Rosmalen",51.7353729,5.3653557,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-blummel-j-j-h-251105,Groote Wielenlaan,5247 JA,Rosmalen
"Boer, A. de","Huisartsenpraktijk Whemerhof, Dinxperlo",51.8609228,6.4873269,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-boer-a-de-117803,Raadhuisstraat,7091 CK,Dinxperlo
"Boer, M.R. de","Belfeldse Huisartsen, Belfeld",51.3088258,6.1158838,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-boer-m-r-de-122009,Prins Frederikstraat,5951 BT,Belfeld
"Borghuis, M.S.","Huisartsenpraktijk de Teselaar, Bemmel",51.8878517,5.8939827,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-borghuis-m-s-270683,Teselaar,6681 BG,Bemmel
"Boxtel-Wilms, S.J.M. van","Gezondheidscentrum Bottendaal, Huisartsen, Nijmegen",51.8380291,5.8565893,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-boxtel-wilms-s-j-m-van-332746,de Ruyterstraat,6512 GB,Nijmegen
"Braunstahl-Reijnhart, R.M.","Gezondheidscentrum Ommoord, huisartsen - onderdeel van Zovida, Rotterdam",51.9609954,4.543,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-braunstahl-reijnhart-r-m-158346,Briandplaats,3068 JJ,Rotterdam
"Bröker-van Rens, L.E.","Huisartsenpraktijk Merlaan, Cuijk",51.7293134,5.8785178,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-broker-van-rens-l-e-281855,Oude Werf,5431 BG,Cuijk
"Brummen, H.J. van","Huisartspraktijk Van Brummen, Baarn",52.2082498,5.2939193,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-brummen-h-j-van-276430,Oosterstraat,3742 SK,Baarn
"Buijs-Wilts, M.","Huisartsenpraktijk De Koppel Buijs-Wilts, Hoevelaken",52.1765538,5.4568756,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-buijs-wilts-m-317048,Kantemarsweg,3871 AP,Hoevelaken
"Busch-Gaffert, R.H.J.M.","Huisartsenpraktijk Volkel, Volkel",51.6431451,5.6591408,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-busch-gaffert-r-h-j-m-281806,Voornstraat,5408 AV,Volkel
"Caffa, M.","Huisartspraktijk NuevoCare, Heerhugowaard",52.6645865,4.8178433,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-caffa-m-334149,W.M. Dudokweg,1703 DC,Heerhugowaard
"Challiui, K.","Huisartsenpraktijk Het Kruispunt, Vlaardingen",51.9101264,4.3449581,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-challiui-k-263659,Hoflaan,3134 AC,Vlaardingen
"Coolen, F.J.W.","Huisartsenpraktijk Coolen en Van Drongelen, Nederweert",51.2855861,5.7516941,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-coolen-f-j-w-258280,Agneshof,6031 CZ,Budschop
"Cranenbroek, A.G.C.","Huisartsencentrum Mierlo, Mierlo",51.438969,5.618994,https://www.zorgkaartnederland.nl/zorgverlener/huisarts-cranenbroek-a-g-c-321971,Heer van Scherpenzeelweg,5731 EG,Mierlo
